aeid,aename,date,aeno,acid,acname,asid
M64129,ふたつの裏デュエル（11/8～11/12）,,16,C10841,デュエル・マスターズ チャージ,C2650
M64130,パーフェクトデュエル（11/22～11/26）,,17,C10841,デュエル・マスターズ チャージ,C2650
M64131,勝舞を倒せ!!（12/6～12/10）,,18,C10841,デュエル・マスターズ チャージ,C2650
M64132,不亞幽の謎!（12/20～12/24）,,19,C10841,デュエル・マスターズ チャージ,C2650
M64133,覚醒の予感（1/17～1/21）,,20,C10841,デュエル・マスターズ チャージ,C2650
M64134,新たなるデッキ（1/31～2/4）,,21,C10841,デュエル・マスターズ チャージ,C2650
M64135,不亜幽の真実!（2/14～2/18）,,22,C10841,デュエル・マスターズ チャージ,C2650
M64136,覚醒!!（2/28～3/4）,,23,C10841,デュエル・マスターズ チャージ,C2650
M64137,その男、ザキラ（3/14～3/18）,,24,C10841,デュエル・マスターズ チャージ,C2650
M64138,バケツマン VS 勝舞!（3/21～3/25）,,25,C10841,デュエル・マスターズ チャージ,C2650
M64139,決 着!（4/11～4/15）,,26,C10841,デュエル・マスターズ チャージ,C2650
M64140,失われた記憶（4/25～4/29）,,27,C10841,デュエル・マスターズ チャージ,C2650
M64141,不亞城へ!（5/9～5/13）,,28,C10841,デュエル・マスターズ チャージ,C2650
M64142,デュエル祭り（5/23～5/27）,,29,C10841,デュエル・マスターズ チャージ,C2650
M64143,呪われたカード（6/6～6/10）,,30,C10841,デュエル・マスターズ チャージ,C2650
M64144,不亞城行きの列車（6/20～6/24）,,31,C10841,デュエル・マスターズ チャージ,C2650
M64145,幽、ひとりぼっち（7/4～7/8）,,32,C10841,デュエル・マスターズ チャージ,C2650
M64146,だべべ村だべ!（7/18～7/22）,,33,C10841,デュエル・マスターズ チャージ,C2650
M64147,死闘! だべべ滝（8/1～8/5）,,34,C10841,デュエル・マスターズ チャージ,C2650
M64148,ラッキーデュエリスト（8/29～9/2）,,35,C10841,デュエル・マスターズ チャージ,C2650
M64149,Wデュエル!（9/5～9/9）,,36,C10841,デュエル・マスターズ チャージ,C2650
M64150,天才の覚醒（9/12～9/16）,,37,C10841,デュエル・マスターズ チャージ,C2650
M64151,不亞城（9/19～9/23）,,38,C10841,デュエル・マスターズ チャージ,C2650
M64152,突入!（9/26～9/30）,,39,C10841,デュエル・マスターズ チャージ,C2650
M64153,友情（10/10～10/14）,,40,C10841,デュエル・マスターズ チャージ,C2650
M64154,命とカード（10/24～10/28）,,41,C10841,デュエル・マスターズ チャージ,C2650
M64155,崖っぷちの二人（11/7～11/11）,,42,C10841,デュエル・マスターズ チャージ,C2650
M64156,黒の復讐者（11/21～11/25）,,43,C10841,デュエル・マスターズ チャージ,C2650
M64157,勝率0!!?（12/5～12/9）,,44,C10841,デュエル・マスターズ チャージ,C2650
M64158,運命の糸（12/19～12/23）,,45,C10841,デュエル・マスターズ チャージ,C2650
M67640,,,,C10855,こちら葛*飾区亀有公園前派出所 両津vs泣き虫アイドル!? 日本一周 大すごろくゲーム!!,C6832
M64359,呼び出せブラボー![未放映],,9,C10874,GIRLSブラボー first season,C2879
M64377,,,,C10878,WAKU-WAKU ペンギー～DOKI-DOKI アドベンチャー,C4205
M64537,,,,C10898,ルパン三世 盗まれたルパン ～コピーキャットは真夏の蝶～,C2445
M64539,漫活! モンキー・パンチの魅力 漫画活動大写真（6/2・6/3）,,S1,C10900,モンキー・パンチ 漫画活動大写真,C2887
M64554,,,,C10902,アズサお手伝いします!,C2891
M64570,,,,C10906,『小さい潜水艦に恋をした でかすぎるクジラの話』,C944
M64734,,,,C10918,アニメも金メダル!!まる子サザエさんと両さんルフィで世界イチSP,C2785
M65358,,,,C10967,トントンあったと にいがたの昔ばなし,C2790
M66217,,,,C11015,くじびきアンバランス（2004）,C2928
M66449,,,,C11031,アニメ大忘年会祭り!!こち亀最終回!サザエまる子ルフィで両さん8年間ありがとうスペシャル,C2785
M66466,,,,C11035,うさみみ玉手箱,C2942
M66940,,,,C11057,MUSHIOTOKO,C2947
M66970,,,,C11061,わたしのきもち[パイロット],C2949
M66986,,,,C11065,DIGITALMONSTER X-EVOLUTION,C2231
M67735,,,,C11101,勇者王ガオガイガーFINAL GRAND GLORIOUS GATHERING,C1971
M70194,,,,C11249,スポンジ・ボブ,C3075
M70196,,,,C11251,機動戦士 ガンダム S［シード］ DESTINY FINAL PLUS 選ばれた未来,C2646
M70203,スカイアスロンで勝負!スカイアスロンで勝負!（12/23・1/4）,,6,C11253,南の島の小さな飛行機バーディー[第1期],C3077
M70214,,,,C11255,蒼穹のファフナー Dead Aggressor RIGHT OF LEFT,C2884
M70255,,,,C11263,ゴキブリちゃん,C4224
M70286,,,,C11271,機動戦士 ガンダムS DESTINY [スペシャルエディション] 自由の代償,C2646
M72536,,,,C11294,おじゃる丸 満月ロード危機一髪,C2158
M71377,,,,C11351,ミュータントタートルズ,C3162
M71488,デュエルスタート!（4/9～4/13）,,1,C11363,ゼロ デュエル・マスターズ,C2650
M71489,スラッシュ・デッキ（4/23～4/27）,,2,C11363,ゼロ デュエル・マスターズ,C2650
M71490,マナコスト（5/7～5/11）,,3,C11363,ゼロ デュエル・マスターズ,C2650
M71491,五つの魂（5/21～5/25）,,4,C11363,ゼロ デュエル・マスターズ,C2650
M71492,真のデュエル（6/4～6/8）,,5,C11363,ゼロ デュエル・マスターズ,C2650
M71493,切り札（6/18～6/22）,,6,C11363,ゼロ デュエル・マスターズ,C2650
M71494,ドラゴンVSエンジェル（7/2～7/6）,,7,C11363,ゼロ デュエル・マスターズ,C2650
M71495,無限VS武者（7/16～7/20）,,8,C11363,ゼロ デュエル・マスターズ,C2650
M71496,白凰VSミミ（9/3～9/7）,,9,C11363,ゼロ デュエル・マスターズ,C2650
M71497,地の底（9/10～9/14）,,10,C11363,ゼロ デュエル・マスターズ,C2650
M71498,最後の望み（9/17～9/21）,,11,C11363,ゼロ デュエル・マスターズ,C2650
M71499,スーパー・スパーク（9/24～9/29）,,12,C11363,ゼロ デュエル・マスターズ,C2650
M72698,,,,C11420,ファイテンション ☆ スクール[番組枠],C3148
M72700,,,,C11422,コードギアス 反逆のルルーシュSTAGE24＆25スペシャル,C3909
M72927,,,,C11454,ルパン三世 霧のエリューシヴ,C2445
M72929,,,,C11456,ピアノの森,C3229
M72931,,,,C11458,戦争童話ふたつの胡桃,C3231
M72933,,,,C11460,ミヨリの森,C3232
M72935,,,,C11462,デスノート・ディレクターズカット完全決着版～リライト・幻視する神～,C3898
M74861,,,,C11519,ファイテンション☆テレビ,C3148
M74902,リモコンの問題（11/28）*枠番組「おはコロ」内の曲も含めています,,85,C11521,ペンギン の問題,C3347
M75037,ママのおしごと（11/30）〈キッズチャレンジ[アニメ版]〉,,86,C11527,はっけん たいけんだいすき!しまじろう,C1497
M73867,,,,C11573,ゆめだまや奇談,C3276
M73924,,,,C11585,遙かなる時空[とき]の中で3紅の月,C2676
M73953,,,,C11589,やっこはん姉妹,C3288
M74045,テレビを観るのも良いけど、本も読むのじゃ（3/30）メインキャストはテレビ欄◇6◆attacked kuma3[第2期]を参照,,12,C11599,attacked kuma3[第1期],C3322
M74289,運命の出会い。はじめまして!（1/14～1/18）,,1,C11629,もえがく★5,C3331
