acid,acname,asid,n_ae,first_date,last_date
C10187,ガイスターズ FRACTIONS OF THE EARTH,C2528,26,2001-10-06,2002-03-30
C10189,キャプテン翼［新］,C6735,52,2001-10-07,2002-10-06
C10191,激闘! クラッシュギアT[TURBO],C2529,68,2001-10-07,2003-01-26
C10193,テニスの王子様,C2530,179,2001-10-10,2005-03-30
C10195,ヒカルの碁,C2531,76,2001-10-10,2003-03-26
C10197,Hellsing,C2532,13,2001-10-11,2002-01-17
C10199,ピロッポ,C2533,23,2001-10-11,2002-03-21
C10201,コ・コ・ロ・図・書・館,C2535,12,2001-10-12,2001-12-28
C10203,カスミン,C2536,26,2001-10-13,2002-03-30
C10205,バンパイヤン・キッズ,C2537,28,2001-10-13,2002-11-25
C10207,RAVE GROOVE ADVENTURE,C2538,51,2001-10-13,2002-09-28
C10211,サイボーグ009[第3作] THE CYBORG SOLDIER,C1234,50,2001-10-14,2002-10-06
C10215,i wish you were here あなたがここにいてほしい,C2540,5,2001-10-05,2002-02-03
C10217,こげぱん,C2541,10,2001-11-05,2001-11-16
C10221,格闘料理伝説ビストロレシピ,C2542,26,2001-12-11,2002-06-25
C10223,よばれてとびでて! アクビちゃん,C1956,13,2001-12-11,2002-03-26
C10229,きっかけは ラフくん,C2571,34,2002-01-05,2002-09-28
C10231,パタパタ飛行船 の 冒険,C2572,27,2001-12-02,2002-12-02
C10233,ぱにょ ぱにょ デ・ジ・キャラット,C2313,48,2002-01-06,2002-11-29
C10235,爆転シュート ベイブレード2002,C2454,51,2002-01-07,2002-12-30
C10237,炎の蜃気楼［ミラージュ］,C2573,14,2002-01-07,2002-04-08
C10239,フルメタル・パニック!,C2574,24,2002-01-08,2002-06-18
C10241,キン肉マンⅡ世,C6466,51,2002-01-09,2002-12-25
C10243,おねがい☆ティーチャー,C2575,12,2002-01-10,2002-03-28
C10245,七人のナナ,C2576,25,2002-01-10,2002-06-27
C10247,Rahxephon,C2577,26,2002-01-21,2002-08-28
C10248,超重神 グラヴィオン,C2638,13,2002-10-08,2002-12-17
C10250,ゴールド マッスル,C2639,4,2002-10-12,2002-11-09
C10252,週刊ポケモン放送局,C1985,16,2002-12-03,2004-09-28
C10254,アソボット戦記 五九,C2640,52,2002-10-01,2003-09-30
C10256,攻殻機動隊 STAND ALONE COMPLEX,C1799,26,2002-10-01,2003-10-01
C10258,スパイラル ―推理の絆―,C2641,25,2002-10-01,2003-03-25
C10260,花田少年史,C2642,25,2002-10-02,2003-03-26
C10262,ヒートガイジェイ,C2643,25,2002-10-02,2003-03-26
C10264,ボンバーマン ジェッターズ,C4093,52,2002-10-02,2003-09-24
C10267,PLATONIC CHAIN,C2636,24,2002-10-05,2003-03-29
C10272,機動戦士 ガンダムSEED,C2646,50,2002-10-05,2003-09-27
C10274,ゲットバッカーズ 奪還屋,C2647,49,2002-10-05,2003-09-20
C10276,カスミン［第2期］,C2536,26,2002-10-05,2003-04-05
C10278,真・女神転生 D[デビル]チルドレン ライト＆ダーク,C4027,52,2002-10-05,2003-09-27
C10280,ギャラクシーエンジェル[A] [第3期],C2483,26,2002-10-06,2003-03-30
C10282,Kiddy Grade,C2648,24,2002-10-09,2003-03-19
C10284,灰羽連盟,C2649,13,2002-10-10,2002-12-19
C10286,デュエル・マスターズ,C2650,32,2002-10-21,2003-12-23
C10288,巨人の星 【特別篇】 猛虎 花形満 ～『巨人の星』全182話より特別編集～,C1578,13,2002-10-23,2002-10-26
C10290,神世紀伝マーズ,C5612,13,2002-10-31,2003-02-06
C10292,piano,C2651,10,2002-10-05,2003-01-06
C10294,シスター・プリンセス ～リピュア～,C2477,13,2002-10-03,2002-12-26
C10296,NARUTO,C2644,221,2002-10-03,2007-02-08
C10298,Kanon,C2579,13,2002-01-31,2002-03-28
C10300,ヘイ!ヘイ! シュルーム,C2581,73,2002-02-03,2003-06-29
C10302,幻魔大戦 ―神話前夜の章―,C6400,13,2002-02-02,2002-05-11
C10304,おジャ魔女どれみドッカ～ン!,C2226,51,2002-02-03,2003-01-26
C10306,ギャラクシー エンジェル ［第2期］,C2483,18,2002-02-03,2002-03-31
C10308,キックオフ 2002,C2582,26,2002-02-18,2002-09-02
C10312,ロックマンエグゼ,C2583,56,2002-03-04,2003-03-31
C10314,GUN FRONTIER,C2584,13,2002-03-28,2002-06-20
C10318,りぜるまいん,C2587,12,2002-04-03,2002-06-19
C10320,.hack// SIGN,C2690,26,2002-04-04,2002-09-26
C10322,モカイヌ,C2588,13,2002-04-07,2002-06-30
C10324,ベイベー ばぁちゃん,C2590,53,2002-04-08,2002-12-04
C10326,十二国記,C2591,45,2002-04-09,2003-08-30
C10330,東京アンダーグラウンド,C2592,26,2002-04-02,2002-09-24
C10332,HAPPY★ LESSON,C2544,13,2002-04-02,2002-06-25
C10334,おじゃる丸[第5期］,C2158,90,2002-04-01,2002-12-06
C10336,ちょびっツ,C2593,26,2002-04-03,2002-09-25
C10338,天地無用! GXP,C1430,26,2002-04-03,2002-09-25
C10340,アベノ橋魔法☆商店街,C2594,13,2002-04-04,2002-06-27
C10342,爆闘宣言ダイガンダー,C2595,39,2002-04-05,2002-12-27
C10344,東京ミュウミュウ,C2596,52,2002-04-06,2003-03-29
C10346,フォルツァ! ひでまる,C2597,26,2002-04-06,2002-09-28
C10348,満月をさがして,C2598,52,2002-04-06,2003-03-29
C10350,わがまま☆フェアリー ミルモでポン!,C2599,52,2002-04-06,2003-03-29
C10352,デジモンフロンティア,C2231,50,2002-04-07,2003-03-30
C10354,電光超特急 ヒカリアン,C2602,53,2002-04-07,2003-03-30
C10356,天使な小生意気,C2603,50,2002-04-07,2003-03-30
C10358,ぴたテン,C2604,26,2002-04-07,2002-09-29
C10360,あずまんが大王 THE ANIMATION,C2543,26,2002-04-09,2002-10-01
C10362,藍より青し,C2605,24,2002-04-11,2002-09-26
C10364,あたしンち,C2606,668,2002-04-19,2009-09-19
C10366,ワイルド7 another 謀略運河,C2607,13,2002-04-27,2002-08-31
C10368,ナッチョとポム,C2608,39,2002-05-24,2009-02-19
C10370,ホイッスル!,C2609,40,2002-05-03,2003-02-03
C10372,王ドロボウ JING,C2610,13,2002-05-15,2002-08-14
C10374,リリパット王国,C2613,82,2002-07-05,2004-03-26
C10376,最終兵器彼女,C2614,14,2002-06-23,2002-09-24
C10378,SAMURAI DEEPER KYO,C2615,26,2002-07-02,2002-12-24
C10380,G-onらいだーす❤,C2616,13,2002-07-02,2002-10-01
C10382,Witch Hunter ロビン,C2617,26,2002-07-03,2002-12-25
C10384,朝霧の巫女,C2618,26,2002-07-04,2002-12-26
C10386,ドラゴンドライブ,C2619,38,2002-07-04,2003-03-27
C10388,ふぉうちゅんドッグす,C2620,39,2002-07-04,2003-03-29
C10390,円盤皇女 ワるきゅーレ,C2621,12,2002-07-04,2002-09-19
C10392,陸上防衛隊まおちゃん,C2622,26,2002-07-04,2002-12-26
C10398,プリンセスチュチュ,C2626,41,2002-08-16,2003-05-23
C10400,キ・ファイター テラン,C2627,26,2002-08-21,2003-03-19
C10402,魔王 ダンテ,C2628,13,2002-08-31,2002-11-23
C10404,ハングリーハート WILD STRIKER,C2630,50,2002-09-25,2003-09-10
C10406,アクエリアンエイジ Sign for Evolution,C2631,13,2002-01-11,2002-03-29
C10408,まほろまてぃっく Automatic Maiden ～もっと美しいもの～,C2527,15,2002-09-27,2003-01-17
C10410,OVERMAN キングゲイナー,C2632,27,2002-07-06,2003-03-22
C10412,ぷちぷり* ユーシィ,C2633,26,2002-09-30,2003-03-24
C10415,冒険者 THE MAN WAS FROM SPAIN,C2653,26,2002-11-28,2003-03-30
C10417,釣りバカ日誌,C2654,36,2002-11-02,2003-09-06
C10419,ワンダーベビルくん,C2726,30,2003-04-11,2004-02-06
C10421,獣兵衛忍風帖NINJA * SCROLL龍宝玉篇,C1470,13,2003-04-15,2003-07-15
C10423,探偵学園Q,C2728,47,2003-04-12,2004-03-20
C10426,げんきげんきノンタン,C2655,15,2002-11-04,2002-12-04
C10428,奇鋼仙女 ロウラン,C2657,28,2002-11-15,2003-05-30
C10430,ポケットモンスター アドバンスジェネレーション,C1985,192,2002-11-17,2006-09-14
C10432,Weｉβ kreuz Glühen,C2124,14,2002-09-20,2003-02-20
C10436,バロムワン,C2658,14,2002-12-07,2003-03-22
C10438,［おどれ!タイポ］［第2期］,C4151,6,2002-04-01,2002-10-21
C10440,忍たま乱太郎［第10期］,C1462,82,2002-03-21,2002-09-16
C10444,らいむいろ戦奇譚明治日本、乙女 防人ス。,C2687,13,2003-01-04,2003-03-29
C10446,L/RLicensed by Royal,C2688,13,2003-01-09,2003-04-25
C10448,.hack//黄昏の腕輪伝説,C2690,12,2003-01-09,2003-03-27
C10450,ななか6/17,C2691,12,2003-01-09,2003-03-27
C10452,THEビッグオー[第2期],C2305,13,2003-01-02,2003-03-27
C10454,STRATOS4,C2693,13,2003-01-05,2003-03-30
C10456,WOLF'SRAIN,C2694,26,2003-01-07,2003-07-29
C10458,東京ムービー劇場梅四エッキス,C2731,13,2003-05-02,2003-07-25
C10460,SUBMARINESUPER 99,C2732,13,2003-05-08,2003-07-31
C10462,SaintBeast 四聖獣 ～聖獣降臨編～,C2733,8,2003-04-25,2003-06-13
C10464,ウルトラマニアック,C2735,26,2003-05-20,2003-11-11
C10468,CINDERELLABOY,C2737,13,2003-06-21,2003-09-13
C10470,HAPPY★LESSON ADVANCE,C2544,13,2003-07-02,2003-09-26
C10472,グリーングリーン,C2663,13,2003-07-06,2003-09-28
C10474,おねがい☆ツインズ,C2575,12,2003-07-15,2003-10-14
C10476,爆転シュートベイブレード Gレボリューション,C2454,51,2003-01-06,2003-12-29
C10478,MO*USE[マウス],C2695,12,2003-01-06,2003-03-24
C10480,出撃! マシンロボ レスキュー,C6870,53,2003-01-08,2004-01-03
C10482,超ロボット生命体トランスフォーマー マイクロン伝説,C6820,52,2003-01-10,2003-12-26
C10484,魔法遣いに大切なことSOMEDAY'sDREAMERS,C2696,12,2003-01-10,2003-03-28
C10488,GUNPARADEMARCH 新たなる行軍歌,C2698,12,2003-02-06,2003-04-24
C10490,魔獣戦線THE APOCALYPSE,C2699,13,2003-02-23,2003-05-18
C10492,明日のナージャ,C2701,50,2003-02-02,2004-01-25
C10494,クラッシュギアNitro,C2529,50,2003-02-02,2004-01-25
C10496,かっぱまき,C2702,130,2003-03-31,2003-09-26
C10498,天使のしっぽchu!,C2524,11,2003-02-20,2003-06-21
C10504,スクラップド・プリンセス,C2704,24,2003-04-08,2003-10-07
C10506,エアマスター,C2705,27,2003-04-02,2003-10-01
C10508,E'S OTHERWISE,C2706,26,2003-04-01,2003-09-23
C10510,宇宙のステルヴィア,C2707,26,2003-04-03,2003-09-25
C10512,カレイドスター,C2708,35,2003-04-03,2003-11-29
C10514,D・N・ANGELTV AnimationSeries,C2709,26,2003-04-03,2003-09-25
C10516,冒険遊記 プラスターワールド,C2710,52,2003-04-03,2004-03-25
C10518,人間交差点,C2713,13,2003-04-06,2003-06-29
C10520,魔探偵ロキRAGNAROK,C2714,26,2003-04-05,2003-09-27
C10522,無限戦記 ポトリス TANK KNIGHTS PORTRISS,C2715,52,2003-04-05,2004-03-27
C10524,ASTRO BOY 鉄腕アトム,C979,52,2003-03-31,2004-03-28
C10527,瓶詰妖精,C2769,13,2003-10-04,2003-12-27
C10529,プラネテス ΠΛΑΝΗΤΕΣ,C2770,26,2003-10-04,2004-04-17
C10531,ロックマン エグゼ AXESS,C2583,51,2003-10-04,2004-09-25
C10532,金色の ガッシュベル!!,C2716,150,2003-04-06,2006-03-26
C10534,ソニックX,C2717,52,2003-04-06,2004-03-28
C10536,デ・ジ・キャラットにょ,C2313,52,2003-04-06,2004-03-28
C10538,成恵の世界,C2718,12,2003-04-06,2003-06-22
C10540,FIRE STORM,C2719,26,2003-04-06,2003-09-28
C10542,妄想科学シリーズ ワンダバスタイル,C2720,12,2003-04-06,2003-06-22
C10544,コロッケ!［第1期］,C2721,52,2003-04-07,2004-03-29
C10546,キノの旅the Beautiful World,C2722,13,2003-04-08,2003-07-08
C10548,DEAR BOYS,C2724,26,2003-04-08,2003-09-30
C10550,LASTEXILE,C2725,26,2003-04-08,2003-09-30
C10552,カスミン[第3期],C2536,26,2003-04-09,2003-10-01
C10553,GAD GUARD,C2729,19,2003-04-17,2003-09-25
C10555,TEXHNOLYZE,C2730,20,2003-04-17,2003-09-25
C10557,クロノクルセイド Mary Magdalene,C2781,24,2003-11-25,2004-06-10
C10559,ふたつの スピカ,C2782,20,2003-11-01,2004-03-27
C10561,ボボボーボ・ ボーボボ,C2783,77,2003-11-08,2005-10-29
C10565,ギャラクシーエンジェルS[第3期][スペシャル],C2483,2,2003-12-22,2003-12-22
C10567,GO!GO! カートくん,C2788,12,2003-04-01,2004-03-01
C10569,おじゃる丸[第6期］,C2158,90,2003-04-07,2003-12-08
C10571,忍たま乱太郎[第11期],C1462,82,2003-04-07,2003-09-15
C10573,トントンあったとにいがたの昔ばなし,C2790,13,2003-10-05,2003-12-28
C10575,カレイドスター 新たなる翼,C2708,16,2003-12-06,2004-03-27
C10577,MEZZO DANGER SERVICE AGENCY,C2820,13,2004-01-04,2004-03-28
C10579,超重神グラヴィオンZwei,C2638,12,2004-01-09,2004-03-26
C10581,ゆめりあ,C2821,12,2004-01-09,2004-03-26
C10583,光と水のダフネ DAPHNE IN THE BRILLIANT BLUE,C2824,25,2004-01-16,2004-07-01
C10585,北へ。 Diamond Dust Drops,C2431,12,2004-01-20,2004-04-06
C10590,Divergence EVE,C2692,13,2003-07-02,2003-09-24
C10592,住めば都のコスモス荘すっとこ大戦ドッコイダー,C2738,12,2003-07-06,2003-09-27
C10594,D.C. ダ・カーポ,C2739,26,2003-07-06,2003-12-28
C10596,高橋留美子劇場,C2740,13,2003-07-06,2003-09-28
C10598,骸なる星 珠たる子 なるたる,C2741,13,2003-07-08,2003-09-30
C10600,ぽぽたん,C2742,12,2003-07-18,2003-10-03
C10602,一騎当千,C2743,13,2003-07-30,2003-10-22
C10606,まっすぐにいこう。,C2748,4,2003-08-18,2003-08-21
C10608,ちっちゃな雪使い　シュガ～　特別編,C2522,2,2003-08-22,2003-08-29
C10616,フルメタル・パニック?ふもっふ,C2574,11,2003-08-26,2003-11-18
C10620,PAPUWA,C1362,26,2003-09-30,2004-03-30
C10622,勇午 交渉人,C2836,13,2004-02-25,2004-05-26
C10628,福島民話館 ねえ みんな…,C2755,56,2003-10-04,2005-10-01
C10630,AVENGER,C2757,13,2003-10-02,2003-12-25
C10632,円盤皇女[ゆーふぉーぷりんせす] ワるきゅーレ 十二月の夜想曲,C2621,12,2003-10-03,2003-12-19
C10634,bpS バトルプログラマーシラセ,C2758,15,2003-10-04,2004-01-03
C10636,お茶犬 ちょこっとものがたり,C2759,26,2003-10-06,2004-03-29
C10638,Gungrave,C2760,26,2003-10-07,2004-03-30
C10640,【真月譚】 月姫,C2761,12,2003-10-10,2003-12-26
C10642,ジェイコブの屋根,C2762,10,2003-10-25,2003-12-27
C10647,神魂合体ゴーダンナー!!,C2763,13,2003-10-01,2003-12-24
C10649,最遊記RELOAD,C2380,25,2003-10-02,2004-03-25
C10651,魁!! クロマティ高校,C2764,26,2003-10-03,2004-03-26
C10653,ヤミと帽子と本の旅人,C2765,13,2003-10-03,2004-01-09
C10655,京極夏彦 巷説百物語,C2766,13,2003-10-04,2003-12-27
C10657,鋼の錬金術師,C2768,52,2003-10-03,2004-10-02
C10659,おもいっきり科学アドベンチャー そーなんだ!,C2771,26,2003-10-05,2004-03-28
C10661,君が望む永遠,C2772,14,2003-10-05,2004-01-04
C10663,銀河鉄道物語,C4312,26,2003-10-05,2004-04-11
C10665,高橋留美子劇場 人魚の森,C1264,11,2003-10-05,2003-12-21
C10667,ポポロクロイス,C2155,26,2003-10-05,2004-03-28
C10669,F-ZERO ファルコン伝説,C2773,51,2003-10-07,2004-09-28
C10671,Gilgamesh,C2774,25,2003-10-07,2004-03-23
C10673,わがまま★フェアリーミルモでポン! ごおるでん,C2599,24,2003-10-07,2004-03-30
C10675,PEACE MAKER 鐵,C2775,24,2003-10-08,2004-03-24
C10677,GUNSLINGER GIRL.,C2776,14,2003-10-09,2004-02-19
C10679,藍より青し ～縁～,C2605,12,2003-10-12,2003-12-28
C10682,愛してるぜベイベ★★,C2852,26,2004-04-03,2004-10-09
C10684,まぶらほ,C2777,24,2003-10-14,2004-04-06
C10686,無人惑星サヴァイヴ,C2779,53,2003-10-16,2004-10-28
C10691,攻殻機動隊 S.A.C. 2nd GIG GHOST IN THE SHELL “STAND ALONE COMPLEX“,C1799,27,2004-01-01,2005-11-05
C10699,B-伝説［ビーレジェンド］! バトルビーダマン,C2217,52,2004-01-05,2004-12-27
C10701,SDガンダムフォース,C2826,52,2004-01-07,2004-12-29
C10703,ごくせん,C2827,13,2004-01-07,2004-03-31
C10705,十兵衛ちゃん② ―シベリア柳生の逆襲―,C2237,13,2004-01-08,2004-04-01
C10707,マリア様がみてる,C2828,13,2004-01-08,2004-04-01
C10709,エリア88,C6823,13,2004-01-09,2004-03-26
C10712,RAGNARÖK THE ANIMATION,C2868,26,2004-04-07,2004-09-29
C10714,トランスフォーマー スーパーリンク,C6820,52,2004-01-09,2004-12-17
C10716,モンキーターン,C2829,25,2004-01-11,2004-06-27
C10718,超変身コス∞プレイヤー,C2830,8,2004-01-13,2004-03-02
C10720,BURN-UP SCRAMBLE,C1228,12,2004-01-13,2004-03-30
C10724,かいけつゾロリ,C1474,52,2004-02-01,2005-02-06
C10726,ふたりはプリキュア,C2833,49,2004-02-01,2005-01-30
C10728,妄想代理人,C2835,23,2004-02-03,2004-05-18
C10730,まっすぐにいこう。［第2期］,C2748,5,2004-03-27,2004-04-01
C10732,ヒットをねらえ!,C2838,8,2004-03-09,2004-04-27
C10734,機動戦士 ガンダムSEED [- 虚空の戦場 -],C2646,2,2004-03-25,2004-03-26
C10736,火の鳥,C4301,15,2004-03-20,2004-06-27
C10739,トリニティ・ブラッド,C3006,24,2005-04-29,2005-10-28
C10741,フルメタル・パニック! TSR［The Second Raid］,C2574,14,2005-07-07,2005-10-20
C10747,AIR ［IN SUMMER］,C2970,2,2005-08-28,2005-09-04
C10751,強殖装甲 ガイバー The Bioboosted Armor,C6897,27,2005-07-03,2006-02-18
C10755,スキマの国のポルタ,C3051,13,2005-09-15,2007-07-19
C10757,ロックマンエグゼBEAST,C2583,25,2005-10-01,2006-04-01
C10762,最遊記RELOAD GUNLOCK,C2380,26,2004-04-02,2004-09-24
C10764,モリゾーとキッコロ［第1期］,C2841,26,2004-04-03,2004-10-28
C10766,絶体絶命 でんぢゃらす じーさん ［第2期］,C4206,51,2004-04-04,2005-03-27
C10768,神魂合体ゴーダンナー!! SECOND SEASON,C2763,13,2004-04-06,2004-06-29
C10770,爆裂天使,C2842,24,2004-04-07,2004-09-22
C10772,忘却の旋律,C2843,24,2004-04-07,2004-09-22
C10774,キン肉マンⅡ世 ULTIMATE MUSCLE,C6466,13,2004-04-08,2004-07-01
C10776,GANTZ ～the first stage～,C2844,12,2004-04-13,2004-08-25
C10778,ぷぎゅる,C2846,13,2004-04-13,2004-07-06
C10780,頭文字［［イニシャル］］D Fourth Stage,C2127,25,2003-12-27,2006-02-18
C10782,ROBONIMAL パンダーゼット THE ROBONIMATION,C2847,31,2004-04-05,2004-11-01
C10784,じゃがいぬくん,C2396,26,2004-04-04,2005-02-09
C10786,絢爛舞踏祭 ザ・マーズ・デイブレイク,C2848,26,2004-04-01,2004-09-23
C10788,恋風,C2849,13,2004-04-02,2004-06-18
C10790,この醜くも 美しい世界,C2850,12,2004-04-02,2004-06-18
C10792,天上天下,C2851,24,2004-04-02,2004-09-17
C10794,とっとこハム太郎 はむはむぱらだいちゅ!,C2341,103,2004-04-02,2006-03-31
C10795,今日から 〔○マ〕王![第1期],C2853,50,2004-04-03,2005-03-26
C10797,ケロロ軍曹,C2854,358,2004-04-03,2011-04-04
C10799,DAN DOH!!,C2855,26,2004-04-03,2004-09-25
C10801,マーメイドメロディー ぴちぴちピッチ ピュア,C4199,39,2004-04-03,2004-12-25
C10803,それいけ! ズッコケ三人組,C2857,26,2004-04-04,2004-10-03
C10805,超ぽじてぃぶ! ファイターズ,C2858,34,2004-04-04,2004-11-28
C10807,マシュマロ通信［タイムズ］,C2859,52,2004-04-04,2005-03-27
C10809,美鳥の日々,C2860,13,2004-04-04,2004-06-27
C10811,じゃがいぬくん［シリーズ］,C2396,26,2004-04-04,2005-02-09
C10813,レジェンズ 甦る竜王伝説,C2861,50,2004-04-04,2005-03-27
C10815,Get Ride! アムドライバー,C2862,51,2004-04-05,2005-03-28
C10816,神無月の巫女,C2910,12,2004-10-02,2004-12-18
C10818,ななみちゃん,C2912,12,2004-05-17,2004-07-29
C10821,VIEWTIFUL JOE,C2913,51,2004-10-02,2005-09-24
C10823,魔法少女リリカルなのは,C2914,13,2004-10-02,2004-12-25
C10826,せんせいの お時間 DOKI DOKI SCHOOL HOURS,C2863,13,2004-04-05,2004-06-28
C10828,花右京メイド隊 La Verite,C2487,12,2004-04-05,2004-06-21
C10830,わがまま★フェアリーミルモでポン! わんだほう,C2599,48,2004-04-06,2005-03-29
C10832,MADLAX,C2864,26,2004-04-06,2004-09-28
C10834,陸奥圓明流外伝 修羅の刻,C2865,26,2004-04-06,2004-09-28
C10836,MONSTER,C2866,75,2004-04-07,2005-09-28
C10837,鉄人28号［第3作］,C3965,26,2004-04-08,2004-09-30
C10839,魔法少女隊アルス,C2869,40,2004-04-09,2005-03-04
