プラットフォーム名,パッケージ名,ゲームパッケージの価格
プレイステーション2,チキン・リトル,6090.0
プレイステーション2,ちゅ～かな雀士 てんほー牌娘,7140.0
プレイステーション2,トム・クランシーシリーズ ゴーストリコン ジャングルストーム,7140.0
プレイステーション2,ちゅ～かな雀士 てんほー牌娘 コレクターズエディション,9240.0
プレイステーション2,チョロQ HG,7140.0
プレイステーション2,チョロQ HG 限定版チョロQジェニーハイグレードBOX,6800.0
プレイステーション2,チョロQ HG THE BEST タカラモノ,3129.0
プレイステーション2,チョロQ HG2 ATLUS BEST COLLECTION,2079.0
プレイステーション2,チョロQ HG2,7140.0
プレイステーション2,チョロQ HG2 THE BEST タカラモノ,3129.0
プレイステーション2,チュウリップ,7140.0
プレイステーション2,トム・クランシーシリーズ ゴーストリコン2,7140.0
プレイステーション2,トム・クランシーシリーズ ゴーストリコン2 UBISOFT BEST,2940.0
プレイステーション2,トム・クランシーシリーズ スプリンターセル UBISOFT BEST,2940.0
プレイステーション2,バスランディング3 サミーベスト（つりコン2+同梱版）,7980.0
プレイステーション2,バスランディング3,7140.0
プレイステーション2,バスケリアン,7140.0
プレイステーション2,はじめの一歩 ALL☆STARS,3990.0
プレイステーション2,バギーグランプリ ～かっとび! 大作戦～,6090.0
プレイステーション2,はかれなはーと ～君がために輝きを～ Russell games best,2940.0
プレイステーション2,はかれなはーと ～君がために輝きを～ 限定版・サントラボイスCD付,7140.0
プレイステーション2,はかれなはーと ～君がために輝きを～,6090.0
プレイステーション2,パイレーツ・オブ・カリビアン/ワールド・エンド,6090.0
プレイステーション2,ハイヒート・メジャーリーグ・ベースボール 2003 THE BEST タカラモノ,3129.0
プレイステーション2,バイオハザード コード: ベロニカ 完全版 カプコレ,5040.0
プレイステーション2,バイオハザード コード: ベロニカ 完全版 バリューパック,3990.0
プレイステーション2,バイオハザード コード: ベロニカ 完全版 Best Price!,2090.0
プレイステーション2,バイオハザード コード: ベロニカ 完全版 プレミアムパック,2604.0
プレイステーション2,バスランディング3 サミーベスト,2940.0
プレイステーション2,バイオハザード アウトブレイク FILE2,7140.0
プレイステーション2,バイオハザード アウトブレイク ネットワークアダプターパック,8980.0
プレイステーション2,バイオニクル ヒーローズ,7140.0
プレイステーション2,バーンアウト3: テイクダウン EA BEST HITS,3129.0
プレイステーション2,バーンアウト3 テイクダウン EA:SY!1980,1979.0
プレイステーション2,バーンアウト2 ポイント オブ インパクト,6090.0
プレイステーション2,バーンアウト リベンジ EA:SY!1980,1980.0
プレイステーション2,バーンアウト リベンジ EA BEST HITS,3129.0
プレイステーション2,バーンアウト ドミネーター EA:SY!1980,1980.0
プレイステーション2,バーンアウト ドミネーター,7140.0
プレイステーション2,ハードラック,7140.0
プレイステーション2,ハートの国のアリス,6720.0
プレイステーション2,バーチャファイター サイバージェネレーション ～ジャッジメントシックスの野望～,7140.0
プレイステーション2,のだめカンタービレ,6279.0
プレイステーション2,ネビュラ -エコーナイト-,7140.0
プレイステーション2,バイオハザード アウトブレイク PlayStation2® the Best,3800.0
プレイステーション2,バズロッド ～フィッシングファンタジー～,7140.0
プレイステーション2,パチスロ ウイニングポスト,5040.0
プレイステーション2,パチスロ ひぐらしのなく頃に祭,7140.0
プレイステーション2,バトルフィールド2 モダン コンバット EA BEST HITS,3129.0
プレイステーション2,バトル オブ サンライズ,8190.0
プレイステーション2,ハドソンセレクション Vol. 4 高橋名人の冒険島,3150.0
プレイステーション2,ハドソンセレクション Vol. 3 PC原人,3150.0
プレイステーション2,ハドソンセレクション Vol. 2 スターソルジャー,3150.0
プレイステーション2,ハドソンセレクション Vol. 1 キュービックロードランナー,3150.0
プレイステーション2,パティシエなにゃんこ ～初恋はいちご味～ 限定版,8190.0
プレイステーション2,パティシエなにゃんこ ～初恋はいちご味～,7140.0
プレイステーション2,はっぴ～ぶり～でぃんぐ ～Cheerful party～ 初回限定版,8190.0
プレイステーション2,はっぴ～ぶり～でぃんぐ ～Cheerful party～,7140.0
プレイステーション2,パックマンワールド2,6090.0
プレイステーション2,ぱちんこ冬のソナタ2 パチってちょんまげ達人15,7140.0
プレイステーション2,ぱちんこ冬のソナタ パチってちょんまげ達人10,7140.0
プレイステーション2,ぱちんこ水戸黄門 パチってちょんまげ達人9,5880.0
プレイステーション2,ぱちんこ華王 美空ひばり,6510.0
プレイステーション2,ぱちんこウルトラマン ぱちってちょんまげ達人12,6090.0
プレイステーション2,ぱちんこウルトラセブン パチってちょんまげ達人8,6090.0
プレイステーション2,パチスロ 信長の野望 天下創世,5040.0
プレイステーション2,パチスロ 信長の野望 天下創世 パチスロセット,7140.0
プレイステーション2,パチスロキング! 科学忍者隊ガッチャマン,5040.0
プレイステーション2,パチスロ完全攻略 スロ原人・鬼浜爆走愚連隊 激闘編,6090.0
プレイステーション2,パチスロ倶楽部COLLECTION パチスロだよ 黄門ちゃま,4935.0
プレイステーション2,パチスロ倶楽部コレクション アイムジャグラーEX～ジャグラーセレクション～,5050.0
プレイステーション2,ネバーランド研究史,5040.0
プレイステーション2,パチってちょんまげ達人 14 ぱちんこ仮面ライダー ショッカー全滅大作戦,6510.0
プレイステーション2,パチってちょんまげ達人3 CR P-MAN ＆ CR柔キッズ極編,3990.0
プレイステーション2,パチパラ 12 ～大海と夏の思い出～,5040.0
プレイステーション2,パチパラ 13 ～スーパー海とパチプロ風雲録～,5040.0
プレイステーション2,パチパラ 13 ～スーパー海とパチプロ風雲録～ アイレムコレクション,1800.0
プレイステーション2,パチパラ14 ～風と雲とスーパー海IN沖縄～,5040.0
プレイステーション2,ハチワンダイバー,4980.0
プレイステーション2,パチってちょんまげ達人2 ～CR ジュラシックパーク～,5880.0
プレイステーション2,ゼロの使い魔 迷子の終止符と幾千の交響曲 限定版,9429.0
プレイステーション2,ネッパチGold ～CRモンスターマンション～,7140.0
プレイステーション2,ネオロマンスBOX ～トリプルセレクション～,7140.0
プレイステーション2,ナイトウィザード The VIDEO GAME ～Denial of the World～,7140.0
プレイステーション2,ナースウィッチ小麦ちゃん マジカルて 初回限定版,8800.0
プレイステーション2,ナースウィッチ小麦ちゃん マジカルて,7140.0
プレイステーション2,どろろ SEGA THE BEST,2940.0
プレイステーション2,トロと休日 PlayStation2® the Best,2800.0
プレイステーション2,トレインキット for A列車で行こう2001 通信販売限定版,2940.0
プレイステーション2,ドリフトナイツ: Juiced2 THQ collection,2079.0
プレイステーション2,ドリフトナイツ: Juiced2,5040.0
プレイステーション2,トリガーハートエグゼリカ エンハンスド,8190.0
プレイステーション2,ドリームミックスTV ワールドファイターズ,7140.0
プレイステーション2,トランスフォーマー THE GAME,7140.0
プレイステーション2,トランスフォーマー,7140.0
プレイステーション2,トランスフォーマー THE BEST タカラモノ,3129.0
プレイステーション2,とらぶるふぉうちゅん COMPANY★はぴCURE 初回限定版,8190.0
プレイステーション2,ナイトウィザード The VIDEO GAME ～Denial of the World～ 初回限定版,9975.0
プレイステーション2,とらぶるふぉうちゅん COMPANY★はぴCURE,7140.0
プレイステーション2,ドラッグオンドラグーン ULTIMATE HITS,2940.0
プレイステーション2,ドラッグ オン ドラグーン,7140.0
プレイステーション2,ドラゴンボールZ3 PlayStation2® the Best,2800.0
プレイステーション2,ドラゴンボールZ 2 PlayStation2® the Best,2800.0
プレイステーション2,ドラゴンボールZ PlayStation2® the Best,2800.0
プレイステーション2,ドラゴンクエスト＆ファイナルファンタジー in いただきストリート Special,7140.0
プレイステーション2,ドラゴンクエスト 少年ヤンガスと不思議のダンジョン ULTIMATE HITS,2940.0
プレイステーション2,ドライバー パラレルラインズ,7140.0
プレイステーション2,トムとジェリー ヒゲヒゲだいせんそう,5040.0
プレイステーション2,トム・クランシーシリーズ レインボーシックス3 UBISOFT BEST,2940.0
プレイステーション2,トム・クランシーシリーズ レインボーシックス3,7140.0
プレイステーション2,トム・クランシーシリーズ スプリンターセル カオスセオリー UBISOFT BEST,2940.0
プレイステーション2,トム・クランシーシリーズ スプリンターセル カオスセオリー,7140.0
プレイステーション2,トム・クランシーシリーズ スプリンターセル,7140.0
プレイステーション2,ドラッグオンドラグーン2 ～封印の紅 背徳の黒～ ULTIMATE HITS,2940.0
プレイステーション2,ナグザットソフト リーチマニア vol. 1 CRギャラクシーエンジェル,6090.0
プレイステーション2,ナグザットソフト リーチマニアvol. 1 CRギャラクシーエンジェル ナグザットベスト,2940.0
プレイステーション2,ナチュラル2 -DUO- 桜色の季節,7140.0
プレイステーション2,ネオロマンスBOX ～アンジェリークセレクション～,8925.0
プレイステーション2,ネオジオバトルコロシアム SNK BEST COLLECTION,2940.0
プレイステーション2,ネオジオ バトルコロシアム,7140.0
プレイステーション2,ネオ アンジェリーク フルボイス スーパープレミアムBOX,7854.0
プレイステーション2,ネオ アンジェリーク フルボイス プレミアムBOX,6279.0
プレイステーション2,ネオ アンジェリーク フルボイス,4179.0
プレイステーション2,ネオ アンジェリーク,7140.0
プレイステーション2,ネオ アンジェリーク プレミアムBOX,9240.0
プレイステーション2,ニード・フォー・スピード モスト・ウォンテッド EA:SY!1980,1980.0
プレイステーション2,ニード・フォー・スピード モスト・ウォンテッド EA BEST HITS,3129.0
プレイステーション2,ニード・フォー・スピード モスト・ウォンテッド,7140.0
プレイステーション2,ニード・フォー・スピード プロストリート EA:SY!1980,1980.0
プレイステーション2,ニード・フォー・スピード プロストリート,7140.0
プレイステーション2,ニード・フォー・スピード カーボン EA:SY!1980,1980.0
プレイステーション2,ニード・フォー・スピード カーボン EA BEST HITS,3129.0
プレイステーション2,ニード・フォー・スピード カーボン,7140.0
プレイステーション2,ニード・フォー・スピード アンダーグラウンド2 車道 EA:SY!1980,1979.0
プレイステーション2,ナチュラル2 -DUO- 桜色の季節 DXパック,9240.0
プレイステーション2,なついろ～星屑のメモリー～,7140.0
プレイステーション2,なついろ～星屑のメモリー～ 初回限定版,8190.0
プレイステーション2,ナデプロ!! ～キサマも声優やってみろ! ～,7140.0
プレイステーション2,ナデプロ!! ～キサマも声優やってみろ! ～ 限定版,9240.0
プレイステーション2,ななついろ★ドロップス Pure!!,7140.0
プレイステーション2,ネットでボンバーマン,3990.0
プレイステーション2,ナムコ クロス カプコン PlayStation2® the Best,2800.0
プレイステーション2,ナルニア国物語 ～第1章 ライオンと魔女～,7140.0
プレイステーション2,ニード・フォー・スピード アンダーカバー,6090.0
プレイステーション2,ニード・フォー・スピード アンダーカバー EA:SY!1980,1980.0
プレイステーション2,ニード・フォー・スピード アンダーグラウンド EA BEST HITS,3129.0
プレイステーション2,ニード・フォー・スピード アンダーグラウンド2,7140.0
プレイステーション2,ニード・フォー・スピード アンダーグラウンド2 車道 EA BEST HITS,3129.0
プレイステーション2,ナムコミュージアム アーケードHITS!,5040.0
プレイステーション2,ゼロの使い魔 迷子の終止符と幾千の交響曲,7329.0
プレイステーション2,ゼロの使い魔 夢魔が紡ぐ夜風の幻想曲 Best Collection,2940.0
プレイステーション2,ゼロの使い魔 夢魔が紡ぐ夜風の幻想曲 限定版,9429.0
プレイステーション2,サムライスピリッツ零 SNK BEST COLLECTION,2940.0
プレイステーション2,サムライスピリッツ天下一剣客伝 SNK BEST COLLECTION,2940.0
プレイステーション2,サムライスピリッツ 六番勝負 NEOGEOオンラインコレクション,5040.0
プレイステーション2,サムライスピリッツ 天下一剣客伝,7140.0
プレイステーション2,サムライスピリッツ ゼロ,7140.0
プレイステーション2,サムライウエスタン 活劇侍道,7140.0
プレイステーション2,サベージスカイ,6090.0
プレイステーション2,サクラ大戦3 ～巴里は燃えているか～ SEGA THE BEST,2940.0
プレイステーション2,サクラ大戦3 ～巴里は燃えているか～ 初回プレス版,5040.0
プレイステーション2,サクラ大戦3 ～巴里は燃えているか～,5040.0
プレイステーション2,サイドワインダー F,7140.0
プレイステーション2,サイキックフォース COMPLETE ウェンディー フィギュア同梱版,8190.0
プレイステーション2,サイキックフォース COMPLETE ウォン フィギュア同梱版,8190.0
プレイステーション2,サイキックフォース COMPLETE エミリオ フィギュア同梱版,8190.0
プレイステーション2,サムライスピリッツ六番勝負 NEOGEOオンラインコレクション THE BEST,2079.0
プレイステーション2,サイキックフォース COMPLETE,7140.0
プレイステーション2,サイヴァリア コンプリートエディション 攻略DVD同梱版,7800.0
プレイステーション2,サイヴァリア コンプリートエディション CD同梱版,7800.0
プレイステーション2,サイヴァリア コンプリートエディション,6090.0
プレイステーション2,サーヴィランス 監視者,6090.0
プレイステーション2,ザ・マエストロムジーク ツヴァイ コントローラ同梱版,7800.0
プレイステーション2,ザ・マエストロムジーク ツヴァイ,5040.0
プレイステーション2,ザ・フィアー,8190.0
プレイステーション2,ザ・タイピング・オブ・ザ・デッド ゾンビパニック USBキーボード同梱版,6090.0
プレイステーション2,ザ・シムズ＆ザ・アーブズ シムズ・イン・ザ・シティ EA BEST HITS,4179.0
プレイステーション2,ザ・シムズ,7140.0
プレイステーション2,ザ・コンビニ4 ～あの町を占拠せよ～,6090.0
プレイステーション2,ザ・コンビニ3 ～あの町を独占せよ～ HAMSTER the Best,2940.0
プレイステーション2,ザ・キング・オブ・ファイターズ'98アルティメットマッチ NEOGEOオンラインコレクション THE BEST,2079.0
プレイステーション2,ザ・キング・オブ・ファイターズ2000,7140.0
プレイステーション2,サイヴァリア2 アルティメット・ファイナル,7329.0
プレイステーション2,サモンナイト3 PlayStation2® the Best,3800.0
プレイステーション2,サモンナイト4,7140.0
プレイステーション2,サモンナイトエクステーゼ ～夜明けの翼～,7140.0
プレイステーション2,ジーワン ジョッキー4,7140.0
プレイステーション2,ジーワン ジョッキー3 2005年度版,4494.0
プレイステーション2,ジーワン ジョッキー3 コーエー定番シリーズ,1575.0
プレイステーション2,ジーワン ジョッキー2 2001,6090.0
プレイステーション2,ジーワン ジョッキー2 コーエー定番シリーズ,1575.0
プレイステーション2,ジーワン ジョッキー2,7140.0
プレイステーション2,シーマン2 ～北京原人育成キット～ シーマイク・コントローラ同梱版,9240.0
プレイステーション2,シーマン2 ～北京原人育成キット～,7140.0
プレイステーション2,シーマン～禁断のペット～ 〈完全版〉 マイクコントローラ同梱,8190.0
プレイステーション2,シーマン 禁断のペット ガゼー博士の実験島（マイクコントローラ同梱） ソフト単体版,6800.0
プレイステーション2,シーマン ～禁断のペット～ ガゼー博士の実験島 特製マイクコントローラ同梱版,8800.0
プレイステーション2,シーマン ～禁断のペット～ ガゼー博士の実験島 シーマイクコントローラ同梱版,9240.0
プレイステーション2,シークレットゲーム ～KILLER QUEEN～ 初回限定版,8715.0
プレイステーション2,シークレットゲーム ～KILLER QUEEN～,7140.0
プレイステーション2,シークレット・オブ・エヴァンゲリオン アスカVer.,9240.0
プレイステーション2,シークレット・オブ・エヴァンゲリオン 綾波Ver.,9240.0
プレイステーション2,シークレット・オブ・エヴァンゲリオン,7140.0
プレイステーション2,サモンナイトグランテーゼ 滅びの剣と約束の騎士,7329.0
プレイステーション2,サルアイトーイ 大騒ぎ! ウッキウキゲームてんこもりっ!! EyeToyカメラ同梱版,7329.0
プレイステーション2,サルゲッチュ ミリオンモンキーズ,6090.0
プレイステーション2,サルゲッチュ ミリオンモンキーズ PlayStation2® the Best,2800.0
プレイステーション2,サルゲッチュ2,6090.0
プレイステーション2,サルゲッチュ2 PlayStation2® the Best,3150.0
プレイステーション2,ザ・キング・オブ・ファイターズ～ネスツ編～ NEOGEOオンラインコレクション THE BEST,2079.0
プレイステーション2,サルゲッチュ3,6090.0
プレイステーション2,サルゲッチュ3 PlayStation2® the Best,1800.0
プレイステーション2,サンソフトコレクション NEOGEOオンラインコレクション,5040.0
プレイステーション2,サンソフトコレクション NEOGEOオンラインコレクション THE BEST,2079.0
プレイステーション2,サンライズ英雄譚3,7140.0
プレイステーション2,シークレット オブ エヴァンゲリオン BEST HIT セレクション,2940.0
プレイステーション2,シークレット・ウェポン・オーバー・ノルマンディ,7140.0
プレイステーション2,サルゲッチュ3 PlayStation2® the Best,2800.0
プレイステーション2,ジーワン ジョッキー4 プレミアムBOX,9240.0
プレイステーション2,ザ・キング・オブ・ファイターズ -ネスツ編- NEOGEOオンラインコレクション,5040.0
プレイステーション2,ザ・キング・オブ・ファイターズ 2002 SNK BEST COLLECTION,2940.0
プレイステーション2,ゲームになったよ! ドクロちゃん～健康診断大作戦～,7140.0
プレイステーション2,ゲームになったよ! ドクロちゃん～健康診断大作戦～ 限定版,9240.0
プレイステーション2,ゲーセンUSA ミッドウェイアーケードトレジャーズ,5040.0
プレイステーション2,ケイナ,7140.0
プレイステーション2,クロックタワー3,7140.0
プレイステーション2,クローバーの国のアリス,6930.0
プレイステーション2,グレゴリーホラーショー ソウルコレクター,7140.0
プレイステーション2,グレイテストストライカー 音声認識同梱パック,9800.0
プレイステーション2,クレイジータクシー,6090.0
プレイステーション2,クリムゾン・エンパイア 豪華版,9450.0
プレイステーション2,クリムゾン・エンパイア,6825.0
プレイステーション2,グリムグリモア The Best Price,2940.0
プレイステーション2,グリムグリモア 初回生産版,7140.0
プレイステーション2,グリムグリモア,7140.0
プレイステーション2,ゲッタウェイ（the Getaway）,7140.0
プレイステーション2,クリティカル ベロシティ,7140.0
プレイステーション2,グランプリ チャレンジ,7140.0
プレイステーション2,グランド・セフト・オート・ダブルパック,6279.0
プレイステーション2,グランド・セフト・オート: バイスシティ ロックスター・クラシックス,1800.0
プレイステーション2,グランド・セフト・オート: サンアンドレアス ロックスター・クラシックス,1800.0
プレイステーション2,グラップラー刃牙 ～バキ最強列伝～,7140.0
プレイステーション2,くまうた,6090.0
プレイステーション2,クイズ＆バラエティ すくすく犬福2 ～もっとすくすく～,6090.0
プレイステーション2,キン肉マン マッスルグランプリ2 特盛,7140.0
プレイステーション2,キン肉マン ジェネレーションズ PlayStation2® the Best,2800.0
プレイステーション2,キングダム ハーツ -ファイナルミックス- 限定版,8800.0
プレイステーション2,キングダム ハーツ ULTIMATE HITS,2940.0
プレイステーション2,きると ～貴方と紡ぐ夢と恋のドレス～ 初回限定版,8820.0
プレイステーション2,きると ～貴方と紡ぐ夢と恋のドレス～,7350.0
プレイステーション2,キラ☆キラ ～RocK'n'RoLL Show～ 初回限定版,8190.0
プレイステーション2,くりクリミックス,6090.0
プレイステーション2,ケロケロキングスーパーDX,3990.0
プレイステーション2,ケロロ軍曹 メロメロバトルロイヤル,7140.0
プレイステーション2,ケロロ軍曹 メロメロバトルロイヤル BANDAI THE BEST,2800.0
プレイステーション2,ザ・アーブズ シムズ・イン・ザ・シティ,7140.0
プレイステーション2,コンフリクト デルタ 湾岸戦争 1991 （Conflict DELTA）,7140.0
プレイステーション2,こんねこ ～Keep a memory green～ 初回限定版,8715.0
プレイステーション2,こんねこ ～Keep a memory green～,7140.0
プレイステーション2,コロボットアドベンチャー,6090.0
プレイステーション2,コロボール2002,8190.0
プレイステーション2,ゴルフナビゲーター Vol. 4,3990.0
プレイステーション2,ゴルフナビゲーター Vol. 3,3990.0
プレイステーション2,ゴルフナビゲーター Vol. 2,3990.0
プレイステーション2,ゴルフナビゲーター Vol. 1,3990.0
プレイステーション2,この青空に約束を ～melody of the sun and sea～,7140.0
プレイステーション2,この晴れた空の下で Good Price,2940.0
プレイステーション2,この晴れた空の下で 数量限定版,8190.0
プレイステーション2,この晴れた空の下で,7140.0
プレイステーション2,ゴッドファーザー EA:SY!1980,1980.0
プレイステーション2,ゴッドファーザー,7140.0
プレイステーション2,ゴッドハンド ベストプライス,2090.0
プレイステーション2,ケロロ軍曹 メロメロバトルロイヤルZ,5040.0
プレイステーション2,ゴーストハンター,7329.0
プレイステーション2,ゴーストリコン アドバンス ウォーファイター,7140.0
プレイステーション2,ゴーストリコン アドバンスウォーファイター UBISOFT BEST,2940.0
プレイステーション2,コード・エイジ コマンダーズ ～継ぐ者 継がれる者～,7140.0
