ccid,ccname
C112727,アルタイルの懺悔
C112728,お着替えのススメ
C112729,鬼ヲ辿リテ幾星霜
C112730,カナミの音楽
C112731,キャラクタイムズゴールデン
C112732,クメショート
C112733,心魂の灯籠 -Lamp of your Heart-
C112734,コドモの神様
C112735,古見さんは、コミュ症です。
C112736,最後のキモチ
C112737,最後の妖怪
C112738,サンデー非科学研究所
C112739,死ぬ気刑事
C112741,スメルハウンド
C112742,聖船のラー
C112743,双亡亭壊すべし
C112744,空に想う
C112745,だめてらすさま。
C112746,ニッペン!
C112747,初恋ゾンビ
C112748,柊様は自分を探している。
C112749,ファンタスティックリンク
C112750,ふれるときこえる
C112751,魔王城でおやすみ
C112752,マギレモノ
C112753,モンスターストライクをひっぱった漢たち
C115366,土竜の唄
C115368,東京喰種[トーキョーグール]
C115371,トモダチゲーム
C115375,手品先輩
C115376,最強ボスザル伝アラシ!!!
C115377,フライング・ダーウィン
C115378,恋する水族マン
C115379,あしたもたぶん会いにいく
C115380,アイシテルの視線
C115381,吉田沙保里物語
C115382,遠藤航物語
C115383,ぐらんぶる
C115384,約束のネバーランド
C115385,わんぴぃすふぃるむごぉるど
C115386,はたらく死神さん
C115387,WILDロア
C115388,江戸忍稼業もののて
C115389,GANGKING
C115390,ラブラッシュ!
C115391,七つの大罪 キングのまんが道
C115392,迷え!七つの大罪学園!
C115393,ネズミと花火
C115394,イヴのお願い
C115395,レッドスプライト
C115396,Legacy
C115397,ベルリンは鐘ヤッホー
C115398,あーそぼっ!
C115399,エクソばんぱシストいあ
C115400,BEASTARS
C115401,BOY THE GOLD
C115402,フルバック
C115403,特別国家公務員改造者対策課 田中誠司
C115405,刃牙D区
C115406,刃牙×テラフォーマーズ[TERRA FORMARS]
C115407,竹取憑き物語
C115409,あつまれ!ふしぎ研究部
C115410,ロロッロ!
C115411,骨が腐るまで
C115412,両さん・フォーエバー
C115413,企画の趣旨を理解してない奴の為の漫画。
C115414,もし超神田寿司にソーマ1話のあの人がやってきたら
C115415,左門くんは舎弟
C115416,美食屋両さん!!
C115417,バラバルジュラ
C115418,ボイスビーアンビシャス
C115419,始発電車
C115420,歪のアマルガム
C115421,ビブ。
C115422,青春兵器ナンバーワン
C115423,みんなのこち亀×べるぜバブ
C115424,RYOKO
C115425,川柳少女
C115426,Live a Zombie
C115427,アクターズ・ハイ
C115428,欅坂46イラストギャラリー! 渡辺梨加×瀬尾公治
C115429,欅坂46イラストギャラリー! 平手友梨奈×吉河美希
C115430,欅坂46イラストギャラリー! 今泉佑唯×絵本奈央
C115431,欅坂46イラストギャラリー! 長濱ねる×宮島礼吏
C115432,少年の反抗期は島を救うか
C115433,怪獣のトカゲ
C115434,みんなのこち亀×仲間りょう
C115435,不滅のあなたへ
C115437,みんなのこち亀×ニセコイ
C115438,悪魔のメムメムちゃん
C115439,こちら開盟学園生活支援部部室
C115440,秘密結社D対ファントム戦闘員エンタロウ
C115441,天使にエールを
C115442,デモンズプラン
C115443,こちら葛飾区亀有公園前派出所 みんなのこと亀×ぬらりひょんの孫
C115444,地球人間テラちゃん
C115445,DOCTOR STRANGE
C115446,PSYCHO LORD
C115447,アイドル志望遊戯
C115448,オレゴラッソ
C115450,こちら葛飾区亀有公園前派出所 みんなのこち亀
C115451,しゅうはすう
C115452,WAKU^2ホビーパーク
C115453,ミラクれ!微超能力部
C115454,非正規雇用死神パマパマ～青垣大和が殺せない～
C115455,私が甲子園に連れてったる!!
C115456,なんかすげぇ転校生
C115457,大きい目玉の人
C115458,頭突け!!横浜謳歌高校XXxX部
C115459,8月アウトロー
C115460,七つの大罪プロダクション
C115461,君島さんとアンドレ
C115462,6センチの絆
C115463,サバドル
C115464,乙女の極み
C115465,舞妓さんちのまかないさん
C115466,LIFE GOES ON
C115467,にんにんっ
C115468,JINBA
C115469,World's 閻d
C115470,生徒会!徒然!川柳!マガジン4コマバレンタインスペシャル
C115471,生徒会!徒然!川柳!マガジン4コマバレンタインスペシャル
C115472,生徒会!徒然!川柳!マガジン4コマバレンタインスペシャル
C115473,すうの空気攻略
C115474,指定暴力少女しおみちゃん
C115475,桜葉先輩は初恋
C115476,チェックめいと!
C115477,天然記念女子高生 菅田ちゃん
C115478,虚ろう君と
C115479,英雄!シーザーさん
C115480,魔入りました!入間くん
C115481,ゴッドハンドガール
C115482,ファインプレー!
C115483,ブラザーホリックJK
C115484,SIX
C115485,半熟アラカルト
C115486,冥界だより
C115487,忌の重倶郎
C115488,GOLEM HEARTS
C115489,Whim
C115490,阿佐ヶ谷芸術高校映像科へようこそ
C115491,ぼくたちは勉強ができない
C115492,U19
C115493,ポロの留学記
C115494,腹ペコのマリー
C115495,Dr.STONE
C115496,Canvas
C115497,トマトイプーのリコピン
C115498,はるよ、こい!
C115499,ユニバーサル・スタジオ・ジャパン×神さまの言うとおり弐探訪ルポ漫画
C115500,マガジン世論調査
C115501,SHY
C115502,ジンメン
C115503,ぼくたちつきあってます…?
C115504,死刑囚捜査官芥川介の事件簿
C115505,まちからチョコがきえるひ
C115506,五等分の花嫁
C115507,サウエとラップ～自由形～
C115508,嘘
C115509,スシネタ戦隊マワッテルンジャー
C115510,綾樫くんは飼っている
C115511,月光のアルカディア
C115512,ROBOT×LASERBEAM
C115513,戦国ベースボール
C115515,クロモリクライム
C115516,華の道
C115517,ばかと天才
C115519,千年の無心
C115520,天翔のクアドラブル
C115521,保安官エヴァンスの嘘 DEAD OR LOVE
C115522,東京卍リベンジャーズ
C115523,僕の街が揺れた
C115524,七つの大罪 セブンデイズ
C115525,少女Aの悲劇
C115526,カナヅチマーメイド
C115527,ポナンザ -人類vs.最強将棋ソフト-
C115528,HiGH ＆ LAW  g-sword
C115529,窓際の香坂さん
C115530,楽々神話
C115531,東村アキコ meets ATOM
C115532,戦場彼女ツナちゃん
C115533,おはようサバイブ
C115534,荒ぶる季節の乙女どもよ。
C115536,第九の波濤
C115537,やさしいおねえちゃん
C115538,守護いね守護霊さん
C115539,運命の人
C115540,NANTE-ナンテ-（仮）
C115541,絵江の変人解放運動
C115544,妖怪ギガ
C115545,ちんぎり
C115546,HIKAKIN物語
C115547,週マガ部員は木曜深夜に胃が痛い
C115548,人魚姫のごめんねごはん
C115549,わたしの超理想ボーイフレンド
C115551,はじめしゃちょー物語
C115552,俺の雑誌で描いてくれ!
C115553,アリスと太陽
C115555,杖ペチ魔法使い♀の冒険の書
C115557,キスアンドクライ
C115558,先生、好きです。
C115559,ランウェイで笑って
C115560,猫には魔法もかからない
C115561,キング・オブ・アイドル
C115562,隕石少女 -メテオガール-
C115563,通学路で差をつけろ!
C115564,オドリオドル
C115565,シスターインベーダー
C115566,応援は羽球に乗って
C115567,雨の日
C115568,ひとみちゃん、まじまじ
C115569,もよよよよ
C115570,HUGO
C115571,ヤンコと帽子
C115572,ひとつばな
C115573,ぼっち博士とロボット少女の絶望的ユートピア
C115575,シューダン!
C115576,なんて古っ代!ファラオくん
C115577,ワールドエンドクルセイダーズ
C115578,クロスアカウント
C115579,初恋防衛軍
C115580,汚物は消毒です
C115581,パンキー
C115582,Ride Your Dream
C115583,パイレーツ・オブ・カリビアン 最後の海賊 ワールドプレミアレポート from 上海
C115584,トマトいちばん!
C115585,シュゲイブ王国のグリとリナ
C115586,MISTERIA -怪奇コレクション-
C115587,想いよ届け ～物理的には届かない～
C115588,将国のアルタイル
C115589,光の僕、照らすは日々の君
C115590,逆神サマが憑いている!
C115591,シノビノ
C115592,彼女、お借りします
C115593,切り札!なずなさん
C115594,黒き薔薇の花束を
C115595,鳴ルモノ
C115596,祝!ONE PIECE 20周年!!尾田さんとの思い出漫画! by しまぶー.
C115597,ONE PIECE PARTY
C115664,青の祓魔師
C115712,カッコカワイイ宣言!
C115914,テガミバチ
C116089,貧乏神が!
C116133,マリオ
C117443,大日本がらくた伝
C87429,交通安全'76
C87430,好敵手 室伏広治物語
C87431,鋼鉄の殺人者
C87432,硬派山崎銀次郎
C87433,コウモリくん
C87435,荒野の少年イサム
C87436,荒野の脱出
C87437,豪腕江川投手
C87438,豪腕サイボーグツトム
C87439,ゴーイングマイウェイ進
C87440,どきゅめんたりぃ足！！
C87446,特別交通機動隊 SUPER PATROL
C87447,どくろ大旋風
C87448,ど根性ガエル
C87449,土佐王
C87450,年寄への道
C87451,どすこい鬼が島
C87452,ドッグ＆ボーイの巻
C87453,ドッグマン旋風
C87454,突撃!アッ4
C87455,突撃ラーメン
C87456,突進!ファミリー
C87457,とっても少年探検隊
C87458,とってもラッキーマン
C87459,となりの金ちゃん
C87460,隣の席の珍子ちゃん
C87461,となりのマサミちゃん
C87462,となりはだあれ!?
C87463,どはずれ天下一
C87464,とびっきり!
C87465,飛ぶ教室
C87466,どぶナイン
C87467,ド真面目!サラリーマン教師
C87468,ともだち
C87469,ともだち
C87470,友だち学園
C87472,トラがやってくる
C87473,ドラキュラ君と天使さん
C87475,ドラクエ外伝!
C87476,ドラゴン危機一髪
C87477,ドラゴン・クエスト魔斬激闘ポスター
C87479,虎のレーサー
C87480,トラブル昆虫記
C87481,とらぶる・ラブ
C87482,トランジスター
C87483,ドリーム仮面
C87484,トリガーキーパー
C87485,トリコ
C87486,鳥山明もっと調査隊 トリモチ
C87487,ドルヒラ
C87489,JUMPトレジャー新人漫画賞
C87490,トレビアンナイト
C87491,トロ太郎列伝
C87492,どろぼう源さん
C87494,トンキー物語
C87495,とんち発明大福くん
C87496,どんとこい!ダンプ
C87497,とんとんとん丸
C87498,トンプー大冒険
C87499,ドン・ボルカン -聖なる男の伝説-
C87500,ドンマイ主将
C87501,ドンマイ!!地球防衛軍
C87502,ナイスガイ転校生よしお
C87504,流しそうめん職人
C87505,長嶋茂雄物語
C87507,なかよくあそぼう!
C87508,流れ拳士
C87510,泣くな大将
C87511,泣くな!兵吉
C87512,なげきの剣士
C87513,嘆きのボービーマン
C87515,茄子くん
C87516,謎の悪夢仮面
C87517,謎の村雨くん
C87518,ナックモエ
C87520,夏の朝にキャッチボールを
C87521,夏のジャンプマルチワールド日記
C87522,なつまん先生
C87523,夏休み
C87526,七○式戦闘機
C87527,何かが起きる!
C87528,並木恵美子物語
C87531,006
C87532,0からの甲子園
C87533,0点魔神
C87534,0の宇宙  ブラックホールの誕生を予言した男
C87535,100Mジャンパー
C87537,110秒の戦士たち
C87538,1・2のアッホ!!
C87539,1970たぎり
C87544,1990年学童大革命
C87549,2130へ翔べ!
C87550,21世紀の天才たちへ
C87551,２３年後
C87552,25M
C87554,31HEROES
C87555,3年B組ゴキブリ軍団VS自殺志願少女
C87556,3年奇面組
C87557,40の顔を持つ男
C87559,4コママンガ
C87562,4タロウ1ヒメ
C87563,’69年シリーズ総決算プロ野球漫画
C87568,80億円強奪作戦
C87569,'80オリンピックに燃える日本のホープ!!
C87576,８時半の決闘
C87578,8ミリロック
C87583,’95初笑いスペシャル!J新春GAGパレード
C87586,AKABOSHI-異聞水滸伝-
C87587,ALIEN X PEKE 宇宙人ペケ
C87588,ALL-STAR GAG SPECIAL【オールスターギャグスペシャル】
C87589,American Dream
C87590,ANAAKI'S
C87591,A・O・M
C87592,APPLE
C87593,AT Lady！
C87594,AX 戦斧王伝説
C87595,BABY DEVIL エピルくん
C87596,BABY FACE
C87597,BACHI-ATARI ROCK
C87598,BAD SHIELD UNITED
C87599,BAKUDAN
C87600,Base Boys
C87601,BASTARD!! 暗黒の破壊神
C87602,BASUKE
C87603,BE A HERO!!
C87604,BEAT SWEET
C87605,Be Happy 夏とバレーと男と女
C87606,BE TAKUTO! ～野蛮なれ～
C87607,Beyooooond! 200％
C87608,BIG1
C87609,BIG GUN ビッグガン
C87610,BLACK KNIGHT バット
C87611,BLACK CAT
C87612,BLEACH
C87613,BLEACH×カラブリ!
C87614,BLUE DRAGON ラルΩグラド
C87615,BLUST!
C87616,BOMBER GIRL
C87617,BOY-ボーイ-HARELUYAⅡ
C87618,BREAK FREE
C87619,BULLET TIME!!
C87620,BULLET CATCHERS
C87621,CAN・えぶりでい
C87625,Cave Of Shine
C87628,CHIBI -チビー
C87629,CHILDRAGON
C87630,CHOBIT
C87631,CHOPPERMAN
C87632,CHOPPERS!!
C87633,CITY HUNTER シティ・ハンター
C87634,CLAYMORE
C87635,CLUTCH
C87636,COM COP
C87637,COM COP 2
C87638,COM COP～夢みる佳人～
C87639,Continue
C87640,COOL～RENTAL BODYGUARD～
C87641,COSMOS
C87642,COUNT DOWN ヒーロー21世紀マン
C87643,COWA!
C87644,CRIMSON KING
C87645,CROWN!
C87646,CROSS BEAT
C87647,CROSS EPOCH  DRAGON BALL×ONE PIECE
C87648,CYBERブルー
C87649,CYBORGじいちゃんG
C87650,DAI-TEN-GU
C87651,DANDY JONES
C87652,DARK PAWN -闇の質屋-
C87653,DEATH NOTE
C87654,DEATH NOTE
C87655,D.Gray-man
C87656,Dies Irae
C87657,D・N・A²～何処かで失くしたあいつのアイツ～
C87658,Dodge The Ball
C87659,DOIS SOL
C87660,DOORCONBOURO -ドア、こん棒、炉-
C87661,DOPPELER
C87662,DOUBLE BULLET
C87666,DRAGON QUEST ダイの大冒険
C87667,DRAGON　BALL
C87668,DRAGON BALL 外伝
C87669,DREAM MASTER
C87670,DRUMP
C87671,Dr.スランプ
C87672,Dr.チャンバリー
C87673,Elephant Youth!
C87674,enma エンマ
C87675,ENMA GAVEL
C87676,E-Robot
C87677,ESQUISSE ～エスキース～
C87681,FALLEN
C87682,FCバルセロナ物語
C87683,ff【フォルテッシモ】
C87684,FOREST
C87685,FORZA!!ロベルト・バッジョ物語
C87686,FULL COAT
C87687,Fの閃光 -アイルトン・セナの挑戦-
C87689,GAG競演!!
C87690,GAGフェスティバル
C87691,GALAXY
C87692,GANJIN
C87693,GANRYU
C87694,GAZER
C87695,GENIUS零男
C87696,GLASS FEET
C87697,GO A HEAD!!
C87699,ＧｏＧｏ!合成マン
C87701,GOGOポチョムキン
C87702,GO☆シュート
C87703,GP BOY☆グランプリボーイ☆
C87704,GRANDSLAM
C87705,GUN BLAZE WEST
C87708,HACHI -東京23宮-
C87709,HACO -ハコ-
C87710,HALLOO SUNSHINE
C87711,HAND’S -ハンズ-
C87712,HANG TIME マイケル・ジョーダン物語
C87713,HARELUYA-ハレルヤ-
C87714,HAT HAT HAT
C87715,HEY! HEY! LIFE!!
C87716,Hi-Fi CLUSTER -六攻特課事件実例-
C87717,HIP☆HOP☆POP
C87718,HUNGRY JOKER
C87719,HUNTER×HUNTER
C87720,ICON
C87721,IEAのブンくん!
C87722,I'm A Faker!
C87723,INPWEAR CODE
C87724,into the blue
C87725,IPPONバンビ
C87726,I''s
C87727,JOKER
C87728,ＪＳＧ杯 4コマ発表
C87729,J'sサークル
C87730,Jump Comics Letter
C87748,JUMP民話劇場
C87749,Juto -ジュウト-
C87754,J連作 1コマギャグ
C87755,KAMAKURAヒートコップ
C87757,KANA
C87758,KESHIPIN弾
C87759,KIBA ＆ KIBA
C87760,KICKBOXERマモル
C87761,KID
C87762,KING
C87763,KING CRIMSON
C87764,KING OF CURSE
C87765,KINTOKI 金目族のトキ
C87766,K.O.SEN
C87767,K.O.マサトメ
C87768,K・V・K最凶バトル
C87769,LAST ACTION HERO
C87770,LEGEND TOWER
C87771,LET'S DRIVE RAV4
C87772,LIGHT WING
C87773,LIKE A TAKKYU!!
C87774,LIKE A CHILD NO MERCYⅢ
C87775,LIVE
C87776,LIVEALIVE ～はじまりの歌～
C87777,LIZARD TAIL! マルボロ=キャシディと仲間たち
C87778,LOCK ON!
C87779,MADDOG マッドドッグ
C87780,MADE IN JAPAN
C87782,MAD MATIC
C87783,magico
C87785,MAX～マック鈴木の挑戦!～
C87786,Merry Wind
C87787,METAL FINISH メタル・フィニッシュ
C87788,MIDNIGHT☆MAGIC
C87789,MIND ASSASSIN
C87790,MISTERY DIALマジックゼロ
C87791,Moon Walker
C87792,Moon Walker LTD.
C87793,Mosquito Panic!
C87794,MP0(MPゼロ)
C87796,Mr.FULLSWING
C87797,Mr.愛NG
C87798,Mr.ホワイティ
C87799,MUDDY
C87800,Muscle BOMBER
C87801,NANPOUDEN -南方遊伝-
C87802,NARUTO-ナルト-
C87804,NINK〔U_ 〕-忍空-
C87805,NINK〔U_ 〕-忍空- SECOND STAGE
C87806,NO FUTURE!! ママ子ちゃん
C87807,north island
C87808,NOE AND ZEN!
C87810,NUMBER 10
C87811,OBAKE LIFE
C87812,O'clock
C87813,OH!GAL
C87815,OH!玉砕
C87816,Oh!ゲバゲバ
C87817,Ohじゅけん!
C87818,ONE PIECE
C87819,OVER TIME
C87820,P2! -let's Play Pingpong!-
C87821,PANKRA BOY
C87822,PEACH PLUCK
C87823,PMG-0
C87824,PM ビグラント
C87825,POCKY
C87826,POOL SHOOTER
C87828,PSYCHO+
C87829,PSYREN-サイレン-
