マンガ雑誌名,マンガ作者名,マンガ作品名,マンガ各話数
週刊少年ジャンプ,大場つぐみ,DEATH NOTE,1
週刊少年ジャンプ,小畑健,DEATH NOTE,1
週刊少年ジャンプ,澤井啓夫,DEATH NOTE,1
週刊少年ジャンプ,星野桂,D.Gray-man,187
週刊少年ジャンプ,大河原遁,Dies Irae,1
週刊少年ジャンプ,桂正和,D・N・A²～何処かで失くしたあいつのアイツ～,42
週刊少年ジャンプ,神海英雄,Dodge The Ball,1
週刊少年ジャンプ,村瀬克俊,DOIS SOL,17
週刊少年ジャンプ,三原すばる,DOORCONBOURO -ドア、こん棒、炉-,1
週刊少年ジャンプ,普津澤画乃新,DOPPELER,1
週刊少年ジャンプ,平方昌宏,DOUBLE BULLET,1
週刊少年ジャンプ,三条陸,DRAGON QUEST ダイの大冒険,342
週刊少年ジャンプ,稲田浩司,DRAGON QUEST ダイの大冒険,342
週刊少年ジャンプ,鳥山明,DRAGON　BALL,519
週刊少年ジャンプ,漫☆画太郎,DRAGON BALL 外伝,1
週刊少年ジャンプ,山川かおり,DREAM MASTER,1
週刊少年ジャンプ,高橋和希,DRUMP,1
週刊少年ジャンプ,鳥山明,Dr.スランプ,238
週刊少年ジャンプ,桂正和,Dr.チャンバリー,1
週刊少年ジャンプ,西公平,Elephant Youth!,1
週刊少年ジャンプ,叶恭弘大河原遁,enma エンマ,1
週刊少年ジャンプ,芝田優作,ENMA GAVEL,1
週刊少年ジャンプ,山本亮平,E-Robot,12
週刊少年ジャンプ,高橋一郎,ESQUISSE ～エスキース～,1
週刊少年ジャンプ,樹崎聖,FALLEN,1
週刊少年ジャンプ,加地君也,FCバルセロナ物語,1
週刊少年ジャンプ,樹崎聖,ff【フォルテッシモ】,1
週刊少年ジャンプ,内水融,FOREST,1
週刊少年ジャンプ,大住良之,FORZA!!ロベルト・バッジョ物語,2
週刊少年ジャンプ,薮野てんや,FORZA!!ロベルト・バッジョ物語,2
週刊少年ジャンプ,池田圭司,FULL COAT,1
週刊少年ジャンプ,西村幸祐,Fの閃光 -アイルトン・セナの挑戦-,16
週刊少年ジャンプ,長沢克泰,Fの閃光 -アイルトン・セナの挑戦-,16
週刊少年ジャンプ,鬼窪浩久,Fの閃光 -アイルトン・セナの挑戦-,16
週刊少年ジャンプ,蔵人健吾,GALAXY,1
週刊少年ジャンプ,小畑健,GANJIN,1
週刊少年ジャンプ,山根和俊,GANRYU,1
週刊少年ジャンプ,ミウラタダヒロ,GAZER,1
週刊少年ジャンプ,平松伸二,GENIUS零男,1
週刊少年ジャンプ,AOKO,GLASS FEET,1
週刊少年ジャンプ,江口寿史,GO A HEAD!!,1
週刊少年ジャンプ,滝川健市,ＧｏＧｏ!合成マン,1
週刊少年ジャンプ,つの丸,GOGOポチョムキン,1
週刊少年ジャンプ,みやたけし,GO☆シュート,53
週刊少年ジャンプ,赤井邦彦,GP BOY☆グランプリボーイ☆,17
週刊少年ジャンプ,鬼窪浩久,GP BOY☆グランプリボーイ☆,17
週刊少年ジャンプ,杉本洋平,GRANDSLAM,1
週刊少年ジャンプ,和月伸宏,GUN BLAZE WEST,28
週刊少年ジャンプ,西義之,HACHI -東京23宮-,22
週刊少年ジャンプ,斎藤修,HACO -ハコ-,1
週刊少年ジャンプ,西公平,HALLOO SUNSHINE,1
週刊少年ジャンプ,板倉雄一,HAND’S -ハンズ-,11
週刊少年ジャンプ,ボブ・グリーン,HANG TIME マイケル・ジョーダン物語,4
週刊少年ジャンプ,井上雄彦,HANG TIME マイケル・ジョーダン物語,4
週刊少年ジャンプ,梅澤春人,HARELUYA-ハレルヤ-,10
週刊少年ジャンプ,吉津遼,HAT HAT HAT,1
週刊少年ジャンプ,水元昭嗣,HEY! HEY! LIFE!!,1
週刊少年ジャンプ,後藤逸平,Hi-Fi CLUSTER -六攻特課事件実例-,1
週刊少年ジャンプ,大石浩二,HIP☆HOP☆POP,1
週刊少年ジャンプ,田畠裕基,HUNGRY JOKER,25
週刊少年ジャンプ,冨樫義博,HUNTER×HUNTER,372
週刊少年ジャンプ,梅澤春人,ICON,1
週刊少年ジャンプ,おがわひろこ,IEAのブンくん!,1
週刊少年ジャンプ,乙川みか,IEAのブンくん!,1
週刊少年ジャンプ,やまもとかずや,I'm A Faker!,11
週刊少年ジャンプ,池田恵介,INPWEAR CODE,1
週刊少年ジャンプ,櫻森和駿,into the blue,1
週刊少年ジャンプ,宮本和也,IPPONバンビ,1
週刊少年ジャンプ,桂正和,I''s,142
週刊少年ジャンプ,山根和俊,JOKER,16
週刊少年ジャンプ,野間吐史,JUMP民話劇場,16
週刊少年ジャンプ,かずはじめ,Juto -ジュウト-,1
週刊少年ジャンプ,清水たかし,KAMAKURAヒートコップ,1
週刊少年ジャンプ,桂正和,KANA,1
週刊少年ジャンプ,吉原薫比古,KESHIPIN弾,1
週刊少年ジャンプ,彭傑,KIBA ＆ KIBA,1
週刊少年ジャンプ,稲垣理一郎,KIBA ＆ KIBA,1
週刊少年ジャンプ,ゆでたまご,KICKBOXERマモル,1
週刊少年ジャンプ,小谷憲一,KID,19
週刊少年ジャンプ,岩泉舞,KING,1
週刊少年ジャンプ,西公平,KING CRIMSON,1
週刊少年ジャンプ,坂本裕次郎,KING OF CURSE,1
週刊少年ジャンプ,鳥山明,KINTOKI 金目族のトキ,1
週刊少年ジャンプ,村瀬克俊,K.O.SEN,12
週刊少年ジャンプ,園田辰之助,K.O.マサトメ,17
週刊少年ジャンプ,相原成年,K・V・K最凶バトル,1
週刊少年ジャンプ,斉藤尚子,LAST ACTION HERO,1
週刊少年ジャンプ,鶴岡伸寿,LAST ACTION HERO,1
週刊少年ジャンプ,麻生周一,LEGEND TOWER,1
週刊少年ジャンプ,次原隆二,LET'S DRIVE RAV4,2
週刊少年ジャンプ,神海英雄,LIGHT WING,22
週刊少年ジャンプ,高橋一郎,LIKE A TAKKYU!!,1
週刊少年ジャンプ,鶴岡伸寿,LIKE A CHILD NO MERCYⅢ,1
週刊少年ジャンプ,梅澤春人,LIVE,11
週刊少年ジャンプ,天野洋一,LIVEALIVE ～はじまりの歌～,1
週刊少年ジャンプ,北嶋一喜,LIZARD TAIL! マルボロ=キャシディと仲間たち,1
週刊少年ジャンプ,土田健太,LOCK ON!,19
週刊少年ジャンプ,武論尊,MADDOG マッドドッグ,10
週刊少年ジャンプ,鷹沢圭,MADDOG マッドドッグ,10
週刊少年ジャンプ,SHOUWA,MADE IN JAPAN,1
週刊少年ジャンプ,鳥山明,MAD MATIC,1
週刊少年ジャンプ,岩本直輝,magico,65
週刊少年ジャンプ,戸田邦和,MAX～マック鈴木の挑戦!～,1
週刊少年ジャンプ,木村公一,MAX～マック鈴木の挑戦!～,1
週刊少年ジャンプ,山本純二,Merry Wind,11
週刊少年ジャンプ,宮崎まさる,METAL FINISH メタル・フィニッシュ,14
週刊少年ジャンプ,鶴岡伸寿,METAL FINISH メタル・フィニッシュ,14
週刊少年ジャンプ,叶恭弘,MIDNIGHT☆MAGIC,1
週刊少年ジャンプ,夢幻,MIDNIGHT☆MAGIC,1
週刊少年ジャンプ,かずはじめ,MIND ASSASSIN,28
週刊少年ジャンプ,許斐剛,Moon Walker,1
週刊少年ジャンプ,許斐剛,Moon Walker LTD.,1
週刊少年ジャンプ,中西まちこ,Mosquito Panic!,1
週刊少年ジャンプ,叶恭弘,MP0(MPゼロ),1
週刊少年ジャンプ,鈴木信也,Mr.FULLSWING,229
週刊少年ジャンプ,新沢基栄,Mr.愛NG,1
週刊少年ジャンプ,北芝健,Mr.ホワイティ,10
週刊少年ジャンプ,猿渡哲也,Mr.ホワイティ,10
週刊少年ジャンプ,藍本松,MUDDY,13
週刊少年ジャンプ,柳田東一郎,Muscle BOMBER,2
週刊少年ジャンプ,沢村烈,Muscle BOMBER,2
週刊少年ジャンプ,梅澤春人,NANPOUDEN -南方遊伝-,1
週刊少年ジャンプ,岸本斉史,NARUTO-ナルト-,722
週刊少年ジャンプ,桐山光侍,NINK〔U_ 〕-忍空-,55
週刊少年ジャンプ,桐山光侍,NINK〔U_ 〕-忍空- SECOND STAGE,27
週刊少年ジャンプ,苅部誠,NO FUTURE!! ママ子ちゃん,1
週刊少年ジャンプ,安藤英,north island,1
週刊少年ジャンプ,加治佐修,NOE AND ZEN!,1
週刊少年ジャンプ,キユ,NUMBER 10,10
週刊少年ジャンプ,高橋一郎,OBAKE LIFE,1
週刊少年ジャンプ,やまもと明日香,O'clock,1
週刊少年ジャンプ,小谷憲一,OH!GAL,1
週刊少年ジャンプ,毛利太亮,Ohじゅけん!,1
週刊少年ジャンプ,尾田栄一郎,ONE PIECE,893
週刊少年ジャンプ,天野洋一,OVER TIME,19
週刊少年ジャンプ,江尻立真,P2! -let's Play Pingpong!-,58
週刊少年ジャンプ,富沢順,PANKRA BOY,11
週刊少年ジャンプ,木村勇治,PEACH PLUCK,1
週刊少年ジャンプ,遠藤達哉,PMG-0,1
週刊少年ジャンプ,田口範明,PM ビグラント,1
週刊少年ジャンプ,江口寿史,POCKY,1
週刊少年ジャンプ,鈴木信也,POOL SHOOTER,1
週刊少年ジャンプ,藤崎竜,PSYCHO+,11
週刊少年ジャンプ,岩代俊明,PSYREN-サイレン-,147
週刊少年ジャンプ,ビッグ錠,QUARTER POUNDER MAGIC!,1
週刊少年ジャンプ,神海英雄,Q部,1
週刊少年ジャンプ,夕樹和史,RARE GENE 4,1
週刊少年ジャンプ,北条司,RASH!!,17
週刊少年ジャンプ,東佳伸,REALIZER リアライザー,1
週刊少年ジャンプ,次原隆二,ROADRUNNER ロードランナー,22
週刊少年ジャンプ,浅美裕子,ROMANCERS,20
週刊少年ジャンプ,尾田栄一郎,ROMANCE DOWN,1
週刊少年ジャンプ,森田まさのり,ROOKIES,233
週刊少年ジャンプ,葦原大介,ROOM303,1
週刊少年ジャンプ,秋本治,R.P.G.,1
週刊少年ジャンプ,ジョンM・隆克,RUSH BALL・REMIX ラッシュボール・リミックス,1
週刊少年ジャンプ,鳥山明,SAND LAND,14
週刊少年ジャンプ,蔵人健吾,★SANTA!★,12
週刊少年ジャンプ,鈴木央,SAVAGE,1
週刊少年ジャンプ,堀たくみ,SAVE THE WORLD,1
週刊少年ジャンプ,原哲也,SELF HEAD,1
週刊少年ジャンプ,桂正和,SHADOW LADY,24
週刊少年ジャンプ,藤崎竜,SHADOW DISEASE,1
週刊少年ジャンプ,車田正美,SHAKA,1
週刊少年ジャンプ,桂正和,SHIN-NO-SHIN 愛と憎しみのタイムスリップ,1
週刊少年ジャンプ,車田正美,SILENT KNIGHT翔,13
週刊少年ジャンプ,三浦征隆紹介,-SINS-,1
週刊少年ジャンプ,篠原健太,SKET DANCE,297
週刊少年ジャンプ,井上雄彦,SLAM DUNK,273
週刊少年ジャンプ,沢田ショウ,SNAKE HUNTER,1
週刊少年ジャンプ,鳥山明,SONCHOH,1
週刊少年ジャンプ,みち,SOUL,1
週刊少年ジャンプ,江口寿史,SPACEPIRATES<スペース・パイレーツ>,1
週刊少年ジャンプ,寺沢武一,SPACE ADVENTURE コブラ,155
週刊少年ジャンプ,久保田ゆうと,Sporting Salt -塩谷の解剖学-,1
週刊少年ジャンプ,大場敦,STARTING POINT,1
週刊少年ジャンプ,鈴木新,STARTING OVER,1
週刊少年ジャンプ,荒木飛呂彦,STEEL BALL RUN,23
週刊少年ジャンプ,矢吹健太朗,STRAY CAT,1
週刊少年ジャンプ,キユ,STRIPE,1
週刊少年ジャンプ,秋本治,SUCCEED,1
週刊少年ジャンプ,篝一人,SUPER POLICE スーパーポリス,11
週刊少年ジャンプ,谷村ひとし,SUPER POLICE スーパーポリス,11
週刊少年ジャンプ,次原隆二,SUPER SONIC魂,2
週刊少年ジャンプ,河原武美,SWEET HOME,1
週刊少年ジャンプ,梅澤春人,SWORD BREAKER,17
週刊少年ジャンプ,杉田尚,SWOT スウォット,21
週刊少年ジャンプ,森田外骨格,TAKUDO!!!!,1
週刊少年ジャンプ,加治佐修,TATTOO HEARTS,15
週刊少年ジャンプ,北条司,TAXI DRIVER,1
週刊少年ジャンプ,宮本和也,TEAM,1
週刊少年ジャンプ,平方昌宏,TEAM MADE,1
週刊少年ジャンプ,長沢克泰,THE EDGE,16
週刊少年ジャンプ,にわのまこと,THE MoMoTARoH ザ・モモタロウ,109
週刊少年ジャンプ,北森かつみ,THE合衆国日本州,1
週刊少年ジャンプ,谷上俊夫,THEファイター FIGHTER JAPAN X STORY,14
週刊少年ジャンプ,青木英大,THEファイター FIGHTER JAPAN X STORY,14
週刊少年ジャンプ,鳥山明,TOKIMECHA,3
週刊少年ジャンプ,下山健人,TOKYO WONDER BOYS,11
週刊少年ジャンプ,伊達恒大,TOKYO WONDER BOYS,11
週刊少年ジャンプ,矢吹健太朗,To LOVEる -とらぶる-,164
週刊少年ジャンプ,長谷見沙貴,To LOVEる -とらぶる-,164
週刊少年ジャンプ,平尾友秀,TOTEM,1
週刊少年ジャンプ,矢吹健太朗,TRANS BOY,1
週刊少年ジャンプ,鳥山明,TRUNKS THE STORY -たったひとりの戦士-,1
週刊少年ジャンプ,三木孝祐,UFO狩り,4
週刊少年ジャンプ,木村知生,UFO狩り,4
週刊少年ジャンプ,春日真,ULTIMATE CHASER,1
週刊少年ジャンプ,鈴木央,Ultra Red,34
週刊少年ジャンプ,田村隆平,URA BEAT,1
週刊少年ジャンプ,佐藤正,VENUS症候群,1
週刊少年ジャンプ,柳川よしひろ,VICE -ヴァイス-,10
週刊少年ジャンプ,ながやす巧,V【勝利】の口笛,16
週刊少年ジャンプ,遠崎史朗,V【勝利】の口笛,16
週刊少年ジャンプ,藍本松,W.C.フレンズ,1
週刊少年ジャンプ,徳弘正也,What's おにゃん子,1
週刊少年ジャンプ,浅美裕子,WILD HALF,142
週刊少年ジャンプ,桂正和,WING-MAN ウィングマン,113
週刊少年ジャンプ,遠藤達哉,WITCH CRAZE,1
週刊少年ジャンプ,萩原一至,WIZARD!! -爆炎の征服者-,1
週刊少年ジャンプ,嵩橋ヒデキ,WOLF×RED,1
週刊少年ジャンプ,桂正和,WOMAN IN THE MAN -男の中の女-,1
週刊少年ジャンプ,門里慧,WONDERFUL WONDER WORLD,1
週刊少年ジャンプ,江尻立真,World 4u_,3
週刊少年ジャンプ,原淳,W.P.P 世界混乱計画,1
週刊少年ジャンプ,徳弘正也,Wrestling with もも子,18
週刊少年ジャンプ,彰田令貴,Yo!SAY!JUMP FESTA!2011～妖精と学ぶジャンフェス講座～,1
週刊少年ジャンプ,久保帯人,ZOMBIE POWDER,27
週刊少年ジャンプ,こせきこうじ,ああ一郎,39
週刊少年ジャンプ,瀬川ミキ,ああ家庭教師,1
週刊少年ジャンプ,宮下あきら,嗚呼!桜田門,1
週刊少年ジャンプ,はじめ俊,ああチャンピオン,1
週刊少年ジャンプ,小林よしのり,ああ東大一直線,1
週刊少年ジャンプ,宮下あきら,嗚呼!!毘沙門高校野球部,1
週刊少年ジャンプ,宮下あきらと熱血少年団,嗚呼!!毘沙門高校柔道部,1
週刊少年ジャンプ,宮下あきらと風雲青年団,嗚呼!!毘沙門高校,20
週刊少年ジャンプ,小林よしのり,ああ勉強一直線,1
週刊少年ジャンプ,大平かずお,アイ・アム・ドッシー,5
週刊少年ジャンプ,屋宜知宏,アイアンナイト,17
週刊少年ジャンプ,加賀たけし,愛犬コースケ,1
週刊少年ジャンプ,村田雄介,アイシールド21,341
週刊少年ジャンプ,稲垣理一郎,アイシールド21,341
週刊少年ジャンプ,沖田真,哀愁ヒーロー,1
週刊少年ジャンプ,高山としのり,i・ショウジョ,21
週刊少年ジャンプ,柳沢みきお,愛すれどせつなく,1
週刊少年ジャンプ,真樹日佐夫,あいつ!,37
週刊少年ジャンプ,逆井五郎,あいつ!,37
週刊少年ジャンプ,黒咲一人,あいつの風,1
週刊少年ジャンプ,池沢さとし,愛のKOパンチ,1
週刊少年ジャンプ,池沢さとし,愛の疾走,1
週刊少年ジャンプ,光原伸,アウターゾーン,121
週刊少年ジャンプ,小室孝太郎,アウターレック,20
週刊少年ジャンプ,次原隆二,青き波濤 -『がんばろうKOBE』'95ブルーウェーブの軌跡-,2
週刊少年ジャンプ,二橋進吾,蒼空の果て -少年たちの戦場-,2
週刊少年ジャンプ,北条司,蒼空の果て -少年たちの戦場-,2
週刊少年ジャンプ,布勢博一,青空フィッシング,42
週刊少年ジャンプ,高橋よしひろ,青空フィッシング,42
週刊少年ジャンプ,諸星大二郎,青ヒゲおじさん,1
週刊少年ジャンプ,吉川雅之,阿加木と千葉の夏休み,1
週刊少年ジャンプ,星野之宣,暁の狩人,1
週刊少年ジャンプ,春日井恵一,アカテン教師梨本小鉄,30
週刊少年ジャンプ,中沢啓治,赤とんぼの歌,1
週刊少年ジャンプ,観寺風貴,明るい人,1
